Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,ID-1542,ID-1815,ID-1833,ID-1900,ID-1918,ID-1921,ID-1922,ID-1923,ID-1934,ID-1936,ID-1937,ID-1954,ID-1955,ID-1957,ID-1959,ID-1960,ID-1961,ID-1962,ID-1963,ID-1964,ID-1965,ID-1966,ID-1967,ID-1968,ID-1969,ID-1970,ID-1971,ID-1972,ID-1973,ID-1974,ID-1975,ID-1976,ID-1977,ID-1978,ID-1979,ID-1980,ID-1981,ID-1982,affiliation-1542,affiliation-1815,affiliation-1833,affiliation-1900,affiliation-1918,affiliation-1921,affiliation-1922,affiliation-1923,affiliation-1934,affiliation-1936,affiliation-1937,affiliation-1954,affiliation-1955,affiliation-1957,affiliation-1959,affiliation-1960,affiliation-1961,affiliation-1962,affiliation-1963,affiliation-1964,affiliation-1965,affiliation-1966,affiliation-1967,affiliation-1968,affiliation-1969,affiliation-1970,affiliation-1971,affiliation-1972,affiliation-1973,affiliation-1974,affiliation-1975,affiliation-1976,affiliation-1977,affiliation-1978,affiliation-1979,affiliation-1980,affiliation-1981,affiliation-1982,unique_affiliation_count,all_china,some_china,some_usa,all_countries,affiliation_display_name_1982,affiliation_id_1982,affiliation_country_1982,affiliation_display_name_1981,affiliation_id_1981,affiliation_country_1981,affiliation_display_name_1980,affiliation_id_1980,affiliation_country_1980,affiliation_display_name_1979,affiliation_id_1979,affiliation_country_1979,affiliation_display_name_1978,affiliation_id_1978,affiliation_country_1978,affiliation_display_name_1977,affiliation_id_1977,affiliation_country_1977,affiliation_display_name_1976,affiliation_id_1976,affiliation_country_1976,affiliation_display_name_1975,affiliation_id_1975,affiliation_country_1975,affiliation_display_name_1974,affiliation_id_1974,affiliation_country_1974,affiliation_display_name_1973,affiliation_id_1973,affiliation_country_1973,affiliation_display_name_1972,affiliation_id_1972,affiliation_country_1972,affiliation_display_name_1971,affiliation_id_1971,affiliation_country_1971,affiliation_display_name_1970,affiliation_id_1970,affiliation_country_1970,affiliation_display_name_1969,affiliation_id_1969,affiliation_country_1969,affiliation_display_name_1968,affiliation_id_1968,affiliation_country_1968,affiliation_display_name_1967,affiliation_id_1967,affiliation_country_1967,affiliation_display_name_1966,affiliation_id_1966,affiliation_country_1966,affiliation_display_name_1965,affiliation_id_1965,affiliation_country_1965,affiliation_display_name_1964,affiliation_id_1964,affiliation_country_1964,affiliation_display_name_1963,affiliation_id_1963,affiliation_country_1963,affiliation_display_name_1962,affiliation_id_1962,affiliation_country_1962,affiliation_display_name_1961,affiliation_id_1961,affiliation_country_1961,affiliation_display_name_1960,affiliation_id_1960,affiliation_country_1960,affiliation_display_name_1959,affiliation_id_1959,affiliation_country_1959,affiliation_display_name_1957,affiliation_id_1957,affiliation_country_1957,affiliation_display_name_1955,affiliation_id_1955,affiliation_country_1955,affiliation_display_name_1954,affiliation_id_1954,affiliation_country_1954,affiliation_display_name_1937,affiliation_id_1937,affiliation_country_1937,affiliation_display_name_1936,affiliation_id_1936,affiliation_country_1936,affiliation_display_name_1934,affiliation_id_1934,affiliation_country_1934,affiliation_display_name_1923,affiliation_id_1923,affiliation_country_1923,affiliation_display_name_1922,affiliation_id_1922,affiliation_country_1922,affiliation_display_name_1921,affiliation_id_1921,affiliation_country_1921,affiliation_display_name_1918,affiliation_id_1918,affiliation_country_1918,affiliation_display_name_1900,affiliation_id_1900,affiliation_country_1900,affiliation_display_name_1833,affiliation_id_1833,affiliation_country_1833,affiliation_display_name_1815,affiliation_id_1815,affiliation_country_1815,affiliation_display_name_1542,affiliation_id_1542,affiliation_country_1542,affiliation_data,unique_country_count,all_usa,Most Recent Affiliation Year,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_id_1983,affiliation_country_1983,affiliation_display_name_1983,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1984,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1985,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1986,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1987,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1988,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1989,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1990,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1991,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1992,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1993,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1994,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1995,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1996,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1997,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1998,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1999,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_2000,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2001,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2002,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2003,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2004,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2005,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2006,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2007,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2008,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2009,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2010,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2011,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2012,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2013,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2014,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2015,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2016,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2017,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2018,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2019,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2020,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2021,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2022,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2023,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2024,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2025,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2026
Boaz Barak,2,,https://openalex.org/A5102710346,A5102710346,https://orcid.org/0000-0002-4053-8927,Boaz Barak,"B. Barak, Barak B., Barak, Boaz, Ben-Aroya, Avraham, Boaz Barak",203,13279,12.875,47,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,False,False,True,"Israel, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2025,OpenAI (United States),United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210167297,Israel,IBM Research - Haifa,https://openalex.org/I53964585,Israel,Weizmann Institute of Science,https://openalex.org/I53964585,Israel,Weizmann Institute of Science,https://openalex.org/I53964585,Israel,Weizmann Institute of Science,https://openalex.org/I53964585,Israel,Weizmann Institute of Science,https://openalex.org/I53964585,Israel,Weizmann Institute of Science,https://openalex.org/I53964585,Israel,Weizmann Institute of Science,https://openalex.org/I20089843,United States,Princeton University,https://openalex.org/I53964585,Israel,Weizmann Institute of Science,https://openalex.org/I2801851002,United States,Harvard University Press,https://openalex.org/I20089843,United States,Princeton University,https://openalex.org/I4400600948,United States,Microsoft Research New England (United States),https://openalex.org/I4400600948,United States,Microsoft Research New England (United States),https://openalex.org/I4400600948,United States,Microsoft Research New England (United States),https://openalex.org/I4400600948,United States,Microsoft Research New England (United States),https://openalex.org/I4400600948,United States,Microsoft Research New England (United States),https://openalex.org/I4400600948,United States,Microsoft Research New England (United States),https://openalex.org/I2801851002,United States,Harvard University Press,https://openalex.org/I4210106258,United States,Harvard College Observatory,https://openalex.org/I2801851002,United States,Harvard University Press,https://openalex.org/I2801851002,United States,Harvard University Press,https://openalex.org/I2801851002,United States,Harvard University Press,https://openalex.org/I2801851002,United States,Harvard University Press,https://openalex.org/I2801851002,United States,Harvard University Press,https://openalex.org/I136199984,United States,Harvard University,https://openalex.org/I136199984,United States,Harvard University,https://openalex.org/I4210161460,United States,OpenAI (United States),,,
Bob McGrew,2,,https://openalex.org/A5026829243,A5026829243,,Bob McGrew,"Bob McGrew, McGrew, Bob",15,5927,64.0,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,False,False,True,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,True,2019,OpenAI (United States),United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I97018004,United States,Stanford University,,,,,,,,,,,,,https://openalex.org/I4210124598,United States,Palo Alto Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210161460,United States,OpenAI (United States),https://openalex.org/I4210161460,United States,OpenAI (United States),,,,,,,,,,,,,,,,,,,,,
Bobby Spero,1,,https://openalex.org/A5114628477,A5114628477,,Bobby Spero,"Bobby Spero, Spero, Bobby",1,95,95.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogo Giertler,1,,https://openalex.org/A5114628478,A5114628478,,Bogo Giertler,"Bogo Giertler, Giertler, Bogo",1,95,95.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borys Minaev,1,,https://openalex.org/A5116248258,A5116248258,,Borys Minaev,"Borys Minaev, Minaiev, Borys",1,5,5.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borys Minaiev,2,,https://openalex.org/A5115637750,A5115637750,,Borys Minaiev,"Borys Minaiev, Minaiev, Borys",1,33,33.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botao Hao,2,,https://openalex.org/A5065620027,A5065620027,https://orcid.org/0000-0003-4250-2124,Botao Hao,"Botao Hao, Hao, Botao",57,360,4.4,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,False,True,True,"China, United Kingdom, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3,False,2025,Physical Sciences (United States),United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I219193219,United States,Purdue University West Lafayette,,,,https://openalex.org/I219193219,United States,Purdue University West Lafayette,https://openalex.org/I219193219,United States,Purdue University West Lafayette,https://openalex.org/I75390827,China,Beijing University of Chemical Technology,https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),,,,https://openalex.org/I40120149,United Kingdom,University of Oxford,https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210113003,United States,Physical Sciences (United States),,,
Bowen Baker,2,,https://openalex.org/A5048522044,A5048522044,,Bowen Baker,"B. Baker, B. Bäker, Baker, Bowen, Bowen Baker",24,3012,6.333333333333333,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,False,False,True,"Germany, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2020,TU Dresden,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I63966007,United States,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,Massachusetts Institute of Technology,https://openalex.org/I4210161460,United States,OpenAI (United States),https://openalex.org/I78650965,Germany,TU Dresden,,,,,,,,,,,,,,,,,,
Bowen Cheng,1,,https://openalex.org/A5035737868,A5035737868,,Bowen Cheng,"Bowen Cheng, Cheng, Bowen",14,300,18.25,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,True,True,False,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2026,Tiangong University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I198091727,China,Tiangong University,https://openalex.org/I198091727,China,Tiangong University,https://openalex.org/I198091727,China,Tiangong University,https://openalex.org/I198091727,China,Tiangong University,https://openalex.org/I198091727,China,Tiangong University
Brad Lightcap,2,,https://openalex.org/A5114628479,A5114628479,,Brad Lightcap,"Brad Lightcap, Lightcap, Brad",3,98,32.666666666666664,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Houghton,1,,https://openalex.org/A5091596210,A5091596210,,Brandon Houghton,"Brandon Houghton, Houghton, Brandon",17,279,33.0,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,False,False,True,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,True,2021,OpenAI (United States),United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I4210161460,United States,OpenAI (United States),,,,,,,,,,,,,,,
Brandon McKinzie,2,,https://openalex.org/A5047462684,A5047462684,,Brandon McKinzie,"Brandon McKinzie, McKinzie, Brandon",12,118,14.666666666666666,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,False,False,True,"United Kingdom, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2024,Apple (United States),United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210107260,United Kingdom,Apple (United Kingdom),https://openalex.org/I4210153776,United States,Apple (United States),,,,,,
Brandon Walkin,1,,https://openalex.org/A5114628480,A5114628480,,Brandon Walkin,"Brandon Walkin, Walkin, Brandon",1,95,95.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Wang,1,,https://openalex.org/A5122371938,A5122371938,,Brandon Wang,"Brandon Wang, Wang, Brandon",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Quinn,1,,https://openalex.org/A5122365103,A5122365103,,Brendan Quinn,"Brendan Quinn, Quinn, Brendan",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Fioca,1,,https://openalex.org/A5122348781,A5122348781,,Brian Fioca,"Brian Fioca, Fioca, Brian",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Guarraci,1,,https://openalex.org/A5114628481,A5114628481,,Brian Guarraci,"Brian Guarraci, Guarraci, Brian",1,95,95.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Hsu,2,,https://openalex.org/A5004290985,A5004290985,https://orcid.org/0009-0007-0599-3258,Brian Hsu,"Brian Hsu, Hsu, Brian",16,124,15.428571428571429,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,False,False,True,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,True,2024,"University of California, Berkeley",United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I95457486,United States,"University of California, Berkeley",,,,https://openalex.org/I4210124175,United States,Center for Astrophysics Harvard & Smithsonian,https://openalex.org/I1316064682,United States,LinkedIn (United States),https://openalex.org/I95457486,United States,"University of California, Berkeley",,,,,,
Brian Yu,1,,https://openalex.org/A5121362839,A5121362839,,Brian Yu,"Brian Yu, Yu, Brian",6,3,0.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Zhang,1,,https://openalex.org/A5122393861,A5122393861,,Brian Zhang,"Brian Zhang, Zhang, Brian",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Kellogg,1,,https://openalex.org/A5114628482,A5114628482,,Bright Kellogg,"Bright Kellogg, Kellogg, Bright",1,95,95.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brittany Brenner,1,,https://openalex.org/A5122366899,A5122366899,,Brittany Brenner,"Brenner, Brittany, Brittany Brenner",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
